"","gene","fc_PCR_vs_RD","pval","mean_PCR","mean_RD","mean_diff"
"55","HELZ",-0.257744651043694,0.106994293144918,-0.0146157894736842,0.0567064705882353,-0.0713222600619195
"56","MAPK7",1.25341112276743,0.873906094982965,0.0235257894736842,0.0187694117647059,0.00475637770897833
"57","PMP22",1.59132626609303,0.620844790384811,-0.0626539473684211,-0.0393721568627451,-0.023281790505676
"58","SKAP1",1.04622674497214,0.825627806733333,-0.325326052631579,-0.310951764705882,-0.0143742879256966
"59","SMURF2",0.957265671309538,0.939973336722997,-0.0763297368421053,-0.0797372549019608,0.00340751805985551
"60","SLC25A39",1.25806862607765,0.518671041256132,-0.101952894736842,-0.0810392156862745,-0.0209136790505676
"61","PNPLA2",1.91867103345703,0.311124730039191,-0.075125,-0.0391547058823529,-0.0359702941176471
"62","UBTF",1.10423780382792,0.342257678802925,-0.18858,-0.170778431372549,-0.017801568627451
"63","STAT5B",1.02321185976763,0.786443422331159,-0.257688684210526,-0.251842941176471,-0.00584574303405572
"64","STAT3",0.677403510621914,0.179695663147517,-0.0654994736842105,-0.0966919607843137,0.0311924871001032
"65","CCDC56",0.820807403015651,0.57295452365747,-0.0934807894736842,-0.113888823529412,0.0204080340557276
"66","ARL13B",2.19449278433165,0.0695502366701821,-0.0938421052631579,-0.0427625490196078,-0.05107955624355
"67","MYO19",0.758451458293947,0.416530019494162,-0.0964234210526316,-0.127131960784314,0.0307085397316821
"68","HOXB3",0.611979473731376,0.303274872170737,0.0200855263157895,0.0328205882352941,-0.0127350619195046
"69","SUZ12",1.4895627696614,0.0704804284620073,-0.163306315789474,-0.109633725490196,-0.0536725902992776
"71","GIT1",1.06119291894177,0.82939388856297,-0.110351578947368,-0.103988235294118,-0.00636334365325078
"72","AIPL1",3.45117311350666,0.0626115797100741,-0.0200513157894737,-0.00581,-0.0142413157894737
"73","AIPL1.1",2.01372538110604,0.340047572645549,-0.0149410526315789,-0.00741960784313725,-0.00752144478844169
"74","ZFP3",1.08089727875718,0.726262142095924,-0.0529847368421053,-0.0490192156862745,-0.00396552115583076
"75","SPNS3",1.38997335340848,0.165102566812504,0.117946052631579,0.0848549019607843,0.0330911506707946
"76","KRT38",1.08878425060055,0.874227389955013,0.0501886842105263,0.0460960784313725,0.00409260577915377
"77","KRT38.1",1.29895480851749,0.530617886198021,0.0254765789473684,0.019613137254902,0.00586344169246646
