"","TCGA.3C.AALI.01","TCGA.A2.A04W.01","TCGA.A2.A04X.01","TCGA.A2.A0CX.01","TCGA.A2.A0D1.01","TCGA.A2.A0EQ.01","TCGA.A2.A0T1.01","TCGA.A2.A3XV.01","TCGA.A2.A3XZ.01","TCGA.A8.A07I.01","TCGA.A8.A08B.01","TCGA.A8.A08J.01","TCGA.A8.A08L.01","TCGA.A8.A08X.01","TCGA.A8.A094.01","TCGA.A8.A09G.01","TCGA.A8.A09X.01","TCGA.A8.A0A7.01","TCGA.AC.A23H.01","TCGA.AC.A3W5.01","TCGA.AC.A5EH.01","TCGA.AN.A04C.01","TCGA.AN.A0FV.01","TCGA.AO.A0J2.01","TCGA.AO.A0JE.01","TCGA.AO.A12D.01","TCGA.AR.A0TX.01","TCGA.AR.A24U.01","TCGA.AR.A254.01","TCGA.B6.A0I9.01","TCGA.B6.A0IK.01","TCGA.B6.A0RH.01","TCGA.B6.A0RS.01","TCGA.BH.A0AW.01","TCGA.BH.A0B7.01","TCGA.BH.A0EE.01","TCGA.BH.A18P.01","TCGA.BH.A18R.01","TCGA.BH.A1EN.01","TCGA.BH.A1EV.01","TCGA.BH.A203.01","TCGA.C8.A12L.01","TCGA.C8.A12P.01","TCGA.C8.A12Q.01","TCGA.C8.A12T.01","TCGA.C8.A12Z.01","TCGA.C8.A135.01","TCGA.C8.A137.01","TCGA.C8.A138.01","TCGA.C8.A1HF.01","TCGA.C8.A1HK.01","TCGA.C8.A26X.01","TCGA.C8.A26Y.01","TCGA.C8.A275.01","TCGA.C8.A278.01","TCGA.C8.A8HP.01","TCGA.D8.A13Z.01","TCGA.D8.A1JA.01","TCGA.D8.A1JF.01","TCGA.D8.A1JG.01","TCGA.D8.A1XJ.01","TCGA.D8.A1XT.01","TCGA.E2.A14P.01","TCGA.E2.A14V.01","TCGA.E2.A152.01","TCGA.E2.A1B0.01","TCGA.E2.A1LB.01","TCGA.E9.A1RH.01","TCGA.E9.A248.01","TCGA.EW.A1OV.01","TCGA.EW.A2FR.01","TCGA.EW.A6SD.01","TCGA.GM.A2DB.01","TCGA.GM.A2DH.01","TCGA.LL.A5YO.01","TCGA.OL.A5RZ.01","TCGA.OL.A66P.01","TCGA.UU.A93S.01"
"NUDT15",379.163,587.994,375.936,740.001999999999,375.586,718.524,538.633,678.073,387.977,228.385,497.217,392.701,559.077,732.545,770.281,464.129,1427.61,605.512,797.054,347.022,514.548,920.61,603.718,798.892,371.176,556.775,313.638,903.508,453.805,724.006,977.104,632.644,671.903,566.723,461.183,498.045,378.954,510.734,399.642,238.25,811.135,848.71,278.873,492.117,443.094,558.79,422.724,767.228,835.706,391.8,263.986,403.473,615.787,1144.55,701.314,601.033,371.09,294.653,2682.58,314.063,611.694,631.444,1017.64,368.445,199.398,680.93,1204.28,1008.87,447.659,206.572,701.47,750.791,566.443,245.828,951.172,264.154,387.166,617.605
"NUDT16",588.363,505.741,554.384,751.085,387.051,480,551.693,825.807,751.206,804.322,714.664,716.899,724.619,303.283,322.923,597.796,501.294,556.341,904.857,744.961,587.629,430.573,669.035,533.409,536.308,450.799,663.959,532.285,477.512,511.472,691.33,234.182,351.01,531.975,1059.33,363.515,834.569,1049.63,714.781,718.735,295.393,439.256,328.621,844.242,435.121,533.989,414.747,465.746,611.275,335.61,275.569,299.495,478.507,349.809,422.293,690.87,597.841,377.844,346.112,551.323,686.045,927.045,659.591,528.719,735.728,378.945,672.133,972.484,398.511,774.789,688.662,726.092,793.438,890.482,475.286,802.046,377.698,463.82
"NUDT16L1",1288.74,555.451,713.706,898.799,1055.21,879.171,844.955,3166.02,1379.74,298.534,761.484,674.983,1017.45,277.459,579.638,707.377,519.507,897.134,1213.72,1203.62,1522.89,1403.09,537.686,552.5,815.822,266.731,1016.58,350.222,788.491,536.01,965.318,1169.19,523.359,1386.53,770.55,505.105,600.568,537.593,422.01,413.311,545.259,370.4,351.93,408.687,654.681,650.522,813.364,676.049,814.178,872.587,705.176,776.757,1028.3,641.071,712.349,1540.33,388.124,264.355,377.419,632.042,767.875,223.295,1046.86,525.752,573.068,361.864,1244.52,612.798,406.28,1109.7,687.762,1409.03,647.278,312.386,848.134,2344.25,1520.14,481.187
"NUDT16P1",48.3959,3.7823,130.846,16.5473,5.6504,205.181,35.2065,5.1613,141.282,64.822,77.7385,93.147,22.2081,23.4218,98.6883,8.2645,19.0417,34.9431,11.307,25.5039,13.6082,17.379,4.2247,7.1235,68.5598,16.3403,21.9966,31.7782,26.7384,116.635,15.6069,137.552,16.4141,20.3735,34.6676,7.0293,10.2536,78.1575,225.77,99.35,14.698,66.8777,14.5204,19.4044,6.2224,5.4087,7.3733,0,24.6565,24.057,10.5026,21.13,6.7309,59.7234,21.2641,20.0516,15.1147,8.6674,12.1748,21.7321,22.9487,14.0221,38.8466,87.021,13.456,32.1203,21.5658,8.2468,39.495,18.9873,49.79,130.303,9.6943,161.408,8.8118,114.578,30.2158,3.6179
"NUDT17",94.0729,8.6451,187.438,47.2203,35.7858,12.4352,19.1014,9.4624,68.2288,20.2844,75.0883,18.2967,29.1878,67.8633,5.6215,23.8751,10.3488,23.1645,47.6084,29.2061,16.0825,40.7874,27.6524,9.403,45.0304,35.0835,18.2741,21.1855,49.1172,62.4602,26.0116,28.542,17.3611,64.5161,26.4475,53.5565,38.451,27.3403,59.3799,41.9133,73.4899,69.2521,32.4799,30.45,24.8894,40.3196,20.2765,2.6553,23.6291,25.542,32.5081,14.6991,35.4903,21.7711,18.6061,25.5203,24.2915,22.7519,43.1915,13.7119,21.137,56.6175,16.8202,36.5884,33.2443,34.3483,10.7829,8.564,27.8407,19.5148,36.5927,22.6249,20.1342,73.794,38.0008,84.399,20.1439,19.5369
"NUDT18",223.491,166.419,240.065,201.796,74.8676,171.606,168.542,1326.45,181.254,56.8846,178.445,182.967,87.5635,61.8577,94.9407,184.573,163.51,171.967,60.7007,234.06,251.959,35.1126,107.153,204.018,128.195,78.3371,68.3587,100.962,73.8211,96.877,141.041,158.872,130.682,115.45,116.869,111.464,134.395,53.4918,58.4273,138.935,98.2255,108.033,100.879,165.982,164.893,59.496,92.6267,76.4737,165.918,133.056,24.006,153.422,288.512,90.9091,84.7243,198.086,75.0337,50.1083,135.082,81.7541,74.5833,138.633,136.564,113.721,119.521,49.9443,126.699,63.7539,44.0272,88.0802,199.16,147.062,332.588,63.6245,254.991,49.6164,417.266,121.563
"NUDT19",611.202,815.345,796.251,756.331,438.375,827.772,489.145,916.559,653.687,605.005,574.205,386.56,730.33,814.359,625.859,950.718999999999,721.101,356.105,583.501,658.165,297.32,2961.87,543.447,828.323,282.759,560.856,619.628,754.402,462.981,668.26,684.393,688.789,759.785,928.127,555.397,528.87,592.877,1664.49,644.288,506.452,911.991,820.736,322.507,542.13,228.005,437.615,551.613,1027.08,485.938,456.786,1427.36,600.827,1211.26,307.149,476.782,658.666,594.602,900.054,284.948,208.784,974.112,352.933,610.733,447.96,571.485,758.634,706.279,236.619,778.569,610.76,279.544,645.648,1145.41,424.511,1164.26,962.148,163.309,422.576
"NUDT21",1388.8,1571.25,2053.53,2715.77,2355.74,2257.82,3064.46,1130.32,1584.42,2113.99,1639.58,1593.48,2062.82,1323.63,1600.25,1562.29,1506.36,2220.65,1614.22,1227.48,1310.1,2386.24,2072.78,1646.39,1965.92,1852.22,2546.19,1624.99,2459.93,3621.73,2955.49,934.663,2588.07,1602.15,3149.03,2084.02,1372.15,2618.72,1332.4,1648.98,2614.81,3132.17,1298.43,2433.32,2793.84,1450.52,1967.28,1164.63,1439.32,1976.54,3523.38,1521.82,1938.81,2698.44,1555.27,2387.97,2043.18,3009.48,2459.6,1811.01,1980.53,3461.87,2870.64,4852.74,2523,2764.95,1612.94,4478.31,2168.34,1760.55,2246.85,1859.01,1236.39,3980.96,1404.93,2529.41,1229.5,1318.38
"NUDT22",909.641000000001,493.368,366.099,304.078,383.261,262.479,534.689,2436.67,919.797,232.627,332.359,278.124,210.977,318.555,464.179,406.048,397.429,424.582,419.368,921.798,761.142,453.336,569.924,987.206,341.732,302.453,387.486,279.218,200.238,428.305,371.289,456.444,410.609,605.654,414.657,237.968,144.539,143.771,389.767,383.887,205.596,294.571,387.176,374.135,324.172,279.567,824.548,509.246,415.575,323.977,116.349,372.995,218.764,253.907,290.867,625.794,252.416,141.994,272.339,236.748,337.255,347.348,349.235,260.513,554.471,212.189,532.504,183.865,229.534,363.576,381.134,526.704,432.155,289.669,726.328,704.414,1287.81,1227.55
"NUDT2",323.545,263.137,583.221,508.526,589.523,322.072,266.296,356.559,305.651,209.459,516.784,337.658,269.987,281.663,142.411,265.075,581.6,173.93,326.713,301.111,333.608,348.289,593.375,516.598,175.254,382.074,337.733,239.33,200.828,176.864,185.549,492.779,344.066,189.021,344.174,939.582,306.875,395.542,260.382,664.791,170.281,209.735,440.963,235.54,359.119,548.248,434.101,172.066,810.582,823.285,261.065,412.494,525.317,257.429,332.917,337.232,314.17,96.9664,254.801,105.297,144.939,215.887,226.672,207.334,249.728,288.526,98.8431,192.847,235.028,279.536,353.029,160.05,328.113,388.788,639.956,303.325,358.273,656.295
"NUDT3",361.61,382.007,1183.02,747.049,990.23,683.523,462.553,1931.61,440.386,563.554,1032.69,415.502,688.452,547.11,930.044,621.977,646.59,714.566,609.388,576.717,360,2227.7,365.242,745.975,789.858,644.96,374.619,495.211,616.435,615.679,727.746000000001,978.336,812.816,1114.88,545.39,767.531,798.682,342.05,535.371,825.846,934.576,343.886,396.255,500.634,543.123,567.425,1026.73,682.422,1074.1,1022.57,878.22,759.761,367.447,494.851,786.773,745.557,567.881,588.028,309.298,1093.07,630.183,609.829,385.262,464.771,643.91,557,993.821999999999,506.859,990.288,2170.89,500,367.445,680.09,878.748,681.261,731.969,1043.88,1144.72
"NUDT4",1078.3,1076.86,1055.78,1399.25,472.278,947.979,1285.78,524.301,581.323,873.112,1938.16,1422.16,606.282,526.691,1625.86,696.051,814.654,1344.72,2043,1120.53,3823.51,1111.19,975.131999999999,664.197,685.598,1624.89,800.677,1080.13,874.519,1466.22,810.983,1197.04,726.326,706.848,1530.02,550.962,1833.2,1640.42,650.638,1147.96,1441.48,882.469,719.908,1142.47,903.576,787.216,1076.96,1368.03,1544.11,1059.1,1455.86,932.016,588.649,1109.74,3959.45,1152.67,950.607000000001,1893.55,1124.43,1117.65,662.493,1103.51,1414.5,2132.67,1674.09,1658,2229.81,1662.99,1408.55,1358.65,1280.44,1254.01,960.477,1695.7,627.84,3861.89,1043.17,1118.67
"NUDT5",461.653,573.049,1245.75,722.078,705.125,1138.34,728.71,1306.48,741.134,432.31,1228.59,787.848,1110.43,1606.01,1712.49,552.608,1120.14,549.651,725.264,573.357,791.522,1335.79,621.527,1677.16,975.992,608.434,583.716,982.996,1401.61,702.288,517.098,1207.41,1479.7,904.935,752.452,1678.4,572.213,740.389,830.648,683.109,1168.95,2926.3,915.911,720.46,782.497,822.52,1030.08,944.912,919.086,1602.49,706.727,1419.39,944.837,945.555,1023.46,791.42,1496.65,561.14,654.891,532.708,943.143,3763.11,1747.93,876.559,698.265,618.695,834.743,1304.19,906.951,1151.8,775.114,840.101,1763.27,1048.83,1556.83,719.1,1355.8,2466.53
"NUDT6",8.8091,19.3975,52.2772,12.8625,11.9835,41.5337,30.3412,193.695,51.8987,21.7132,0.2827,24.9501,46.6688,38.5199,23.3229,19.6051,28.8896,44.8999,20.0729,50.6088,93.5629,12.105,11.8598,40.5613,81.9635,30.3496,18,58.889,46.7282,62.7119,18.1561,22.4656,106.193,19.0209,21.5082,47.2536,44.4017,50.5527,84.2972,27.8529,36.2717,20.6727,48.1582,11.8845,44.4099,19.8009,38.3733,31.317,28.8275,38.7467,10.3776,128.112,22.2579,41.2298,38.7771,17.7852,32.6127,13.1176,13.1227,12.3252,23.2748,24.8588,9.8678,22.3914,21.0982,48.6502,85.9396,112.721,29.1486,27.3259,51.0678,33.1916,75.1007,32.4224,61.8753,21.6164,104.791,151.903
"NUDT7",154.976,27.0161,120.753,65.3819,22.1307,36.0622,29.2139,182.366,55.8236,20.2844,91.8728,41.9162,118.655,31.2291,83.0731,22.9568,34.7718,23.1645,113.963,33.3196,80.4124,46.4621,135.574,60.9773,103.043,73.0506,94.0778,55.2809,66.2646,16.8897,40.4624,26.1348,11.9949,23.7691,38.9564,23.431,27.0988,36.8499,28.8961,60.1533,73.4899,15.4333,38.2117,24.1809,41.7787,30.4856,111.521,15.401,31.848,67.4191,42.5106,30.3169,48.9521,26.1842,12.2933,84.46,31.8489,14.3554,125.227,5.1743,37.7446,122.23,134.962,45.8179,57.7817,14.482,72.3352,1.9031,55.3577,27.9536,49.79,62.428,120.06,58.9309,66.0884,34.7826,57.554,20.2605
"NUDT8",252.855,1040.12,71.3706,166.684,129.959,155.026,379.406,1425.38,53.0669,13.6699,15.0177,24.6174,203.998,177.165,292.317,1681.67,901.583,640.754,1626.72,686.137,251.134,852.633,191.263,1403.62,895.74,260.002,1575.63,338.637,14.2411,121.415,97.1098,118.294,909.091,5746.46,919.943000000001,859.582,135.494,42.4963,154.007,19.4043,195.734,314.602,53.4964,543.921,68.0015,90.965,1343.78,213.489,171.054,150.876,1009.25,548.002,436.592,672.551,1736.68,324.472,75.0337,129.469,127.835,201.281,763.648,62.9671,372.046,194.149,925.695,106.201,1645.74,103.719,208.482,54.3249,184.463,299.99,2569.72,219.817,424.067,117.135,1079.86,225.036
"NUDT9",417.075,330.677,928.539,1000.91,1181.4,409.948,425.848,2484.3,962.095,582.957,599.823,559.215,432.107,550.113,434.104,262.932,613.474,575.187,616.827,658.577,609.072,1595.67,598.752,922.639,545.233,448.396,617.597,816.965,646.952,874.761000000001,521.387,615.199,363.321,556.31,657.97,1771.38,1202.97,489.747,802.422,355.875,429.826,690.542,677.493,517.949,546.234,792.133,930.415,1641,766.919,919.513,771.193,1551.22,405.997,611.356,1400.78,508.583,544.13,467.768,540.909,1440.27,637.732,925.723000000001,290.749,773.96,726.625,507.055,3787.94,339.069,697.637,500,1035.09,1109.04,2981.36,620.6,605.81,869.565,768.345,981.91
"NUDT9P1",2.7189,0.5403,0.7209,1.6144,0,1.658,1.4981,0,2.7567,0,0,1.3307,1.5863,1.2011,0,0,0,2.7483,1.1902,2.4681,0.8247,0.3547,0.3841,0,0,2.403,2.3689,2.3172,2.6157,1.5934,1.7341,1.3755,1.2626,2.8297,2.5018,2.0084,1.4648,1.4859,1.5877,0,0.3585,0.7915,1.1464,2.3882,0.4445,0,0.4608,0,1.0274,0.891,0,0.9187,2.4476,1.1768,2.658,3.0381,2.1592,0.8126,0,0.7761,0.302,2.6457,0.4005,0,0,1.8567,0.4493,0.3172,0.9712,1.5823,2.0996,1.2569,2.9828,1.8253,1.1015,0.5115,0,0
"NUF2",494.29,166.959,159.683,421.754,316.421,369.741,437.084,83.0108,278.429,332.488,441.696,210.911,614.53,697.25,332.917,280.992,220.221,205.732,288.031,250.925,208.66,502.926,217.763,526.571,304.26,281.629,141.455,326.058,839.933,734.226,279.191,530.949,417.614,337.861,183.345,588.117,443.102,626.746,122.888,581.741,721.276,740.799,487.581,157.624,428.898,503.012,216.129,285.183,545.011,604.396,420.605,135.967,782.01,686.673,259.489,258.241,582.456,173.619,172.476,313.822,473.468,245.254,327.193,913.391,212.526,426.847,87.6109,258.822,774.037,202.532,162.268,194.826,348.248,702.216,459.865,325.831,102.878,955.138
"NUFIP1",126.156,163.177,126.521,216.729,169.041,240.415,206.744,208.602,179.531,170.213,111.307,199.601,206.536,358.534,124.297,117.233,164.338,212.014,217.213,132.044,266.392,348.643,352.568,200.883,184.179,243.181,136.041,285.673,260.118,427.342,255.491,267.538,350.694,155.631,193.71,199.498,243.889,285.587,139.717,136.606,385.015,341.512,237.295,267.483,210.671,267.978,190.323,356.877,345.191,211.167,122.031,155.719,194.279,230.362,291.053,208.416,234.548,138.678,437.133,95.4661,280.518,314.307,106.127,241.945,102.503,259.376,182.86,345.096,245.711,102.321,261.248,330.575,229.679,119.687,239.57,171.867,110.791,374.819
"NUFIP2",7402.94,4561.93,2891.23,4463.32,1535.96,3296.17,2239.73,1679.57,2368.37,4184.76,2811.84,2785.1,2585.98,2010.07,2011.87,4670.95,2087.96,2580.29,4030.65,3884.41,2656.08,1523.67,2292.85,1330.96,4815.01,11231.5,3153.3,4669.74,4742.86,4823.45,2333.53,2647.87,1826.7,3013.02,3053.25,1552.13,3675.91,6284.99,1322.55,38881.9,6285.36,3969.13,2338.94,4667.51,4620.99,2834.17,2013.36,11492.8,1661.74,3019.3,14959.2,4286.63,3080.31,32737,3164.04,2596.99,2942.24,5578.82,3716.79,4917.93,4194.48,3195.71,11582.3,10930,2153.75,4948.57,9671.8,4424.39,3867.59,2100.74,2715.06,6650.47,1372.11,3369.75,1783.29,8792.84,1272.66,1413.89
"NUMA1",17014.5,5191.68,11775.3,5276.02,18317.8,18429.6,7371.28,4284.23,10381.1,19648.6,8859.17,11643.5,8793.77,6212.64,9948.22999999999,13641.9,7566.59,8082.82,11707.9,10970.3,10726,8068.54,7059.05,5931.51,8416.16999999999,6967.96,10543.4,4773.3,6258.82,4591.98,5918.21,8358.92,5163.12,6634.77,6807.65,4760.9,24616.8,5470.35,4083.65,11608.1,8406.32,9035.03,9378.61,5789.79,15478.3,9247.96,5378.54,10694.4,7836.04,6021.25,15817.6,4492.34,6229.78,8220.18,5757.74,7137.38,4740.13,3954.83,4646.57,6895.56,10829.1,7602.57,7601.9,5584.61,13447.5,6937.81,9608.86,5825.38,5899.11,9166.09,9076.04999999999,11912.5,7557.34,13948.3,4656.16,10525,5455.32,7143.34
"NUMB",1893.42,900.716,1205.37,1505.8,1059.92,974.093,1444.96,974.193,1126.46,1927.9,1363.07,1497.67,750.317,1652.74,2266.71,2189.78,1835.87,1344.72,1373.8,1531.47,1422.68,1050.19,1570.81,1308.45,1933.06,2050.22,1857.19,1973.23,1581.34,679.732,2130.64,1210.45,1610.16,984.154,1355.25,2443.51,1569.9,1162.56,1432.1,1994.37,1983.51,1297.19,1517.39,1191.13,1503.59,1869.94,1542.86,1644.18,1910.36,1166.02,1251.81,2185.58,1995.41,1693.14,1620.73,916.907,1560.05,2252.71,2806.29,1805.32,1252.82,1404.06,2036.44,1392.67,2033.84,2013.37,2014.6,1885.02,1961.8,1239.45,1472.11,1186.13,2692.02,1189.57,1566.85,646.547,1038.85,711.288
"NUMBL",487.221,588.95,178.066,457.27,194.938,271.917,462.178,138.925,326.671,359.387,179.329,188.623,332.487,455.224,118.676,123.661,158.543,213.585,196.087,468.943,564.948,611.456,250.792,276.393,297.769,414.274,367.513,275.742,358.352,144.359,205.202,649.931,470.328,226.372,444.961,170.711,249.016,187.519,177.822,484.719,345.223,329.244,263.661,210.464,393.342,275.845,245.161,312.799,331.321,485.892,126.031,234.727,265.259,699.911999999999,160.145,509.798,672.605,205.58,161.751,117.457,322.791,356.902,410.893,561.351,237.063,279.8,124.902,423.44,838.459,623.945,620.276,372.892,187.919,393.742,416.357,155.499,192.806,137.482
"NUP107",613.921,630.015,799.495,1233.38,533.49,1044.56,420.23,342.796,606.823,720.538,1707.6,976.048,777.919,734.485,1058.71,859.504,1720.79,2394.19,1044.41,687.783,693.608,765.739,978.589,1697.96,981.743999999999,809.324,1969.2,832.523,962.581,873.486,1073.99,1073.93,1047.98,796.265,912.438,830.46,856.175,1179.49,455.034,2292.42,848.181,1649.39,868.934,834.988,982.244,1489.86,799.078,1285.18,998.587,1428.27,1141.29,858.98,703.687,872.904,1330.34,1130.18,939.541,1156.55,833.973,1112.99,693.292,1335.8,696.836,1781.29,889.284999999999,923.877,664.046,1366.43,1584.33,1099.16,1126.87,584.896,888.889,1093.09,905.962,782.609,443.885,568.017
"NUP133",858.075,1224.91,408.759,2196.35,1016.6,1731.81,1028.48,772.473000000001,1209.86,1733.44,2648.41,1449.43,3491.43,1736.22,1435.35,2105.3,1367.28,1251.67,1991.82,1286.71,1300.62,1472.96,2120.4,1967.52,1693.31,2524.57,1187.14,2075.85,1896.97,2352.77,1524.28,1525.1,1658.46,1151.67,1478.91,1086.19,2820.84,2514.12,1456.24,2037.45,2005.74,2889.2,1447.08,1221.88,1196.03,2916.29,1511.06,1348.91,989.341,1114.94,2670.17,1104.73,1081.54,1609.59,1106.73,1249.89,1804.86,2644.91,2901.66,1333.16,1641.74,1644.82,2257.11,1915.12,1518.95,2650.76,819.499,2038.54,1932.34,1279.54,1144.57,1272.86,538.404,1989.57,1314.61,1410.23,572.662,1590.45
"NUP153",1031.54,890.45,1250.07,1308.85,1155.5,1623.63,1051.32,334.624,1034.8,2573.03,1813.6,1313.71,2080.9,1304.42,1749.53,1891.03,2126.46,1980.76,1720.45,1137.8,648.66,1387.13,1089.97,685.283,1340.77,1557.61,1299.15,2314.51,2112.62,2250.8,1685.55,1003.44,1833.65,1338.99,1521.44,1154.14,2036.07,2940.86,1403.21,2068.5,1871.3,1881.68,1902.56,2279.87,1372.03,2171.85,1826.73,1652.68,934.891,1317.79,4484.12,1013.78,1654.28,1754.93,1543.31,1000.15,3057.76,2583.42,3691.86,1564.45,3264.15,2769.5,1392.07,2073.01,1220.14,2884.52,1275.53,2912.7,2023.63,2210.97,1379.72,2097.83,558.538,2116.56,1003.99,3515.6,486.331,671.491
"NUP155",482.327,570.58,531.315,1896.08,810.83,1020.93,1194.4,213.333,508.27,871.789,847.173,630.406,1586.29,990.323,1329.17,815.121000000001,892.062,623.479,1020.31,313.451,616.495,1010.46,805.377,1357.74,963.488999999999,688.213,655.838,1693.18,1584.25,887.827,917.341,362.448,825.442,657.046,963.188,492.72,988.373,1122.73,911.338,1091.69,1737.59,1157.1,1571.65,1935.67,814.24,1482.48,1494.47,1494.42,192.115,550.936,1124.28,407.441,825.455,1170.05,582.77,405.286,1242.38,1817.98,1096.89,1632.5,1183.07,925.723000000001,1647.58,1337.62,882.557,2400.67,540.941,2597.41,1061.18,673.523,610.378,1285.01,232.662,2256.58,371.747,236.829,235.252,534.732
"NUP160",1131.05,1195.19,860.413,1271.72,1629.19,1059.48,1466.31,342.366,824.604,1446.81,1353.36,712.575,1912.75,935.673,810.119,1378.63,1140.02,1520.22,2355.13,701.769,1168.66,1237.81,1193.66,921.214000000001,1320.49,869.397999999999,1182.06,1290.99,1989.1,4062.14,1007.51,660.248,1288.19,994.907,1419.94,717.322,855.443,1978.31,624.6,1371.11,961.463,1875.35,1372.56,3400.55,838.241,1761.28,798.617,1730.75,871.708999999999,1139.29,2414.1,717.501,916.934,1310.09,1270.2,1143.55,1672.87,1597.78,1174.29,2339.31,1554.47,1318.34,1730.08,1983.02,1105.77,1663.76,917.444,1070.81,1670.12,919.304,1228.25,2108.73,962.714,2827.38,789.756,1197.44,466.906,776.411
"NUP188",2911.36,1537.21,1543.12,1341.54,2127.84,2565.39,2449.84,1495.91,1717.09,2145.74,1170.49,1197.6,2634.2,2010.67,2723.3,1815.12,2161.65,1129.17,2843.12,1313.86,1031.34,1431.81,2097.75,3485.68,1599.59,1263.01,2094.75,1887.16,2352.68,1717.65,2428.9,1458.05,1613.32,1473.68,1779.13,1773.05,2157.65,2126.89,845.29,1765.01,1926.15,3007.52,1598.01,1281.59,1753.37,1238.6,1680.18,2409.45,1090.02,3290.47,3926.98,1060.17,2482.48,2790.23,1967.6,2376.42,2531.17,2004.06,1126.75,3105.88,1730.51,1150.61,6431.32,1630.33,1640.45,2051.06,1691.56,2276.74,1636.45,1367.62,1220.16,2048.39,1205.07,2672.23,1175.27,1561.13,760.432,644.718
"NUP205",1248.5,2072.13,775.345,2745.23,2059.09,1978.45,2467.07,481.72,1470.71,1319.81,1587.46,1676.65,4084.39,2046.71,1981.89,2995.41,4515.37,1741.26,1982.59,1289.59,1462.68,1357.69,1526.26,2476.14,1008.92,1138.05,1656.51,3756.45,2164.93,1313.26,2402.89,1096.29,2081.12,1374.08,1636.88,1631.13,2430.1,2743.83,1637.23,1609,1579.14,2520.78,2332.06,2318.98,1325.36,3083.47,1105.99,1832.71,947.733,931.987,2096.52,2186.5,1521.19,2804.94,2264.96,1260.82,2479.35,2927.41,2191.75,2495.31,2626.72,1912.3,2580.7,3146.27,2292.27,3647.42,535.101,2476.57,2805.76,1616.56,1299.64,1518.38,1478,3444.59,1527.74,2969.31,390.647,2005.79
"NUP210",3816.2,722.95,1389.93,1003.33,1762.92,1907.56,2235.98,704.086,4148.86,1899.68,1301.24,2189.29,5487.94,2915.72,2141.16,1666.36,3240.82,2013.74,2631.85,2094.2,3517.53,1657.03,1417.95,2348.2,1008.52,1886.82,1384.43,2242.02,2168.42,2746.97,3561.85,2287.14,1463.38,1071.31,1710.86,1257.24,2054.75,4309.66,946.584999999999,2480.26,1595.63,2484.37,1527.32,1772.37,2347.61,1853.23,699.078,3747.74,1576.47,1686.37,876.218999999999,2564.54,3793.48,3088.85,1294.12,1311.86,2027.26,1832.07,4288.14,1569.37,2841.41,993.981,1833.4,1608.57,1077.27,4969.55,2060.43,285.782,2601.81,2340.72,868.326,1883.31,988.814,5704.3,2691.45,2765.73,2714.39,3103.47
"NUP210L",3.2626,0.5403,0.3605,0.4036,3.7669,0.4145,0.3745,0,0.3446,7.0555,7.0671,1.3307,1.269,1.8017,0,0.6122,0,0.3926,0.2976,0.4114,0.4124,0.3547,1.9203,0,1.217,4.806,1.3536,2.3172,3.4876,1.5934,1.7341,12.0358,0.6313,2.8297,0.7148,1.3389,1.4648,1.1887,1.2702,1.1643,2.5094,1.1872,0.3821,0.5971,0.8889,3.9336,0,2.1243,1.541,2.079,0.5001,1.378,4.2833,0.5884,2.3258,0.6076,7.2874,23.0228,0.5798,0,0.9059,12.6993,0,0.9889,1.1873,8.5407,0,0,1.2949,0,0.5999,0.838,0,1.5645,0,5.6266,0,0
"NUP214",2123.98,1487.51,1600.07,1669.26,1025.07,1686.63,1930.74,1379.35,1535.49,2001.54,1263.25,1645.04,1585.98,2073.73,1526.55,2051.12,1905,1411.46,1515.14,1271.49,2145.98,1401.31,2424.58,2119.68,1702.64,1560.49,1294.75,1475.7,1823.44,1725.94,2249.71,1705.3,1972.85,1256.93,1051.11,1298.08,2119.2,1682.32,1082.17,2402.64,1524.65,2982.59,1795.19,1695.95,1382.25,2360.66,1501.38,2189.06,1175.81,1361.15,2555.64,978.87,2362.55,2005.3,1597.47,2724.59,1921.19,2139.22,1210.81,2319.9,1694.28,1569.42,939.928,1745.36,1828.04,1743.59,1411.21,1463.48,1956.94,1421.94,1269.65,1805.38,880.686,1889.44,1275.51,1002.05,835.971,1249.64
"NUP35",171.833,279.346,313.238,260.72,266.981,309.637,200.377,208.602,326.327,231.948,340.989,240.519,373.731,177.165,218.613,216.406,259.133,186.101,315.406,181.407,320.412,435.538,243.111,551.076,326.572,159.558,172.589,226.42,367.362,136.074,304.046,416.094,384.785,346.916,206.576,259.749,353.383,517.979,396.289,192.49,322.639,491.096,343.141,215.24,364.452,302.889,359.908,326.606,433.029,177.903,311.078,311.897,314.823,298.029,374.78,300.167,216.464,397.616,358.287,226.118,282.329,117.997,421.706,322.373,241.021,270.702,293.384,291.492,335.06,402.954,242.351,232.534,308.725,277.445,264.354,221.483,285.611,211.288
"NUP37",265.362,265.838,468.956,479.064,171.395,355.648,320.603,453.763,255.341,296.77,334.806,501.331,209.391,221.607,579.638,298.439,543.931,320.377,439.485,182.23,469.278,237.631,354.873,312.01,496.146,257.599,162.098,308.183,378.406,393.244,413.295,272.352,399.937,359.366,219.085,443.849,259.269,475.483,226.088,422.237,419.788,381.084,392.052,319.427,478.677,280.762,172.811,475.836,510.081,697.951,429.107,429.031,233.746,175.64,554.197,574.814,547.098,416.847,271.904,368.411,302.259,396.322,432.519,568.274,343.128,356.108,314.051,490.366,466.818,262.131,405.519,217.869,370.619,355.15,367.341,932.481,360.432,327.062
