"","TCGA.3C.AALI.01","TCGA.A2.A04W.01","TCGA.A2.A04X.01","TCGA.A2.A0CX.01","TCGA.A2.A0D1.01","TCGA.A2.A0EQ.01","TCGA.A2.A0T1.01","TCGA.A2.A3XV.01","TCGA.A2.A3XZ.01","TCGA.A8.A07I.01","TCGA.A8.A08B.01","TCGA.A8.A08J.01","TCGA.A8.A08L.01","TCGA.A8.A08X.01","TCGA.A8.A094.01","TCGA.A8.A09G.01","TCGA.A8.A09X.01","TCGA.A8.A0A7.01","TCGA.AC.A23H.01","TCGA.AC.A3W5.01","TCGA.AC.A5EH.01","TCGA.AN.A04C.01","TCGA.AN.A0FV.01","TCGA.AO.A0J2.01","TCGA.AO.A0JE.01","TCGA.AO.A12D.01","TCGA.AR.A0TX.01","TCGA.AR.A24U.01","TCGA.AR.A254.01","TCGA.B6.A0I9.01","TCGA.B6.A0IK.01","TCGA.B6.A0RH.01","TCGA.B6.A0RS.01","TCGA.BH.A0AW.01","TCGA.BH.A0B7.01","TCGA.BH.A0EE.01","TCGA.BH.A18P.01","TCGA.BH.A18R.01","TCGA.BH.A1EN.01","TCGA.BH.A1EV.01","TCGA.BH.A203.01","TCGA.C8.A12L.01","TCGA.C8.A12P.01","TCGA.C8.A12Q.01","TCGA.C8.A12T.01","TCGA.C8.A12Z.01","TCGA.C8.A135.01","TCGA.C8.A137.01","TCGA.C8.A138.01","TCGA.C8.A1HF.01","TCGA.C8.A1HK.01","TCGA.C8.A26X.01","TCGA.C8.A26Y.01","TCGA.C8.A275.01","TCGA.C8.A278.01","TCGA.C8.A8HP.01","TCGA.D8.A13Z.01","TCGA.D8.A1JA.01","TCGA.D8.A1JF.01","TCGA.D8.A1JG.01","TCGA.D8.A1XJ.01","TCGA.D8.A1XT.01","TCGA.E2.A14P.01","TCGA.E2.A14V.01","TCGA.E2.A152.01","TCGA.E2.A1B0.01","TCGA.E2.A1LB.01","TCGA.E9.A1RH.01","TCGA.E9.A248.01","TCGA.EW.A1OV.01","TCGA.EW.A2FR.01","TCGA.EW.A6SD.01","TCGA.GM.A2DB.01","TCGA.GM.A2DH.01","TCGA.LL.A5YO.01","TCGA.OL.A5RZ.01","TCGA.OL.A66P.01","TCGA.UU.A93S.01"
"AANAT",2.1751,0.5403,0,0,0,0,0.3745,2.1505,1.0338,0.441,0.8834,0,0.6345,0,0,0,3.3116,0.3926,0,0,2.0619,0.7093,0,2.5645,0.4057,0,0,0,0.8719,0.3187,0,0.3439,0.3157,0,0.7148,4.6862,0,3.5661,0,0,0,0.3957,0.3821,0,0,0,0.4608,0,0,0,0,0,0.6119,0.5884,0,3.0381,0.8097,1.0834,0,0.5174,0,0,0,0,0.3958,0,0,1.5859,0.3237,0.5274,1.4997,1.2569,0,0,0,1.023,4.3165,0
"AARS",4570.96,3720.65,7205.91,2982.14,4209.53,5375.34,2669.7,3480,2834.25,5247.49,2711.13,6417.17,5124.05,3986.52,3344.16,1895.32,3853.05,3195.92,4842.07,2094.61,3152.16,2287.64,6330.48,2941.73,4208.11,3852.94,3170.56,2714.72,3134.2,8916.19,4112.14,2464.58,2561.55,2943.41,1648.32,3328.87,2105.65,8527.79,2165.3,2845.83,4702.28,4023.74,5790.6,4776.48,5590.79,3378.98,3672.35,4672.33,1803.52,3780.52,3832.46,3826.83,2147.77,3113.56,2378.26,6926.93,3687.45,1654.39,9173.99999999999,3489.04,10277.4,5879.75,6271.53,5906.55,6769.96,5569.44,7596.09,5162.48,3146.97,1886.08,4678.46,3472.92,2686.8,4913.69,2820.32,5513.04,5395.68,6162.08
"AARS2",472.501,299.338,932.501,405.598,627.178,467.544,373.406,740.645,457.595,488.131,492.05,289.754,585.225,592.741,264.816,612.136,333.644,372.591,243.99,614.118,320.792,652.843,268.839,402.904,395.497,612.717,324.521,401.855,333.015,853.719,517.341,525.433,406.234,357.102,339.167,370.477,542.671,452.894,318.8,536.331,421.936,394.535,371.402,345.079,487.998,534.471,529.926,346.256,505.971,474.007,268.562,274.208,308.664,286.525,376.089,656.716,750.318,178.762,253.331,712.236,515.419,350.521,370.44,428.832,363.297,397.859,491.066,284.831,319.841,677.21,382.118,351.939,599.553,597.622,674.096,806.123,510.072,365.405
"AARSD1",418.706,265.298,444.805,293.815,355.503,475.44,421.354,2855.05,926.947,175.063,268.551,419.494,355.33,321.3,260.462,1029.08,278.175,351.394,255.003,443.85,348.454,1862.74,470.091,404.616,752.535,316.232,242.978,220.792,355.736,253.983,523.699,602.82,666.351,225.806,230.164,341.757,375.721,251.412,424.868,611.623,391.468,406.807,362.629,280.021,506.678,327.474,374.193,269.251,519.841,393.525,200.55,316.491,401.407,171.227,274.772,403.464,246.694,86.1322,238.568,140.483,310.411,300.02,526.632,287.433,316.612,273.487,394.923,295.615,353.836,530.591,642.172,467.581,501.119,376.01,373.399,308.951,734.532,586.107
"AASDH",184.339,194.516,295.215,347.089,276.398,206.839,150.189,316.989,210.544,271.194,260.601,321.357,216.371,305.685,419.113,205.081,262.858,277.582,430.261,249.691,131.134,262.813,425.156,249.608,380.527,196.564,308.968,382.663,318.535,362.651,158.959,94.2228,432.45,213.922,310.936,210.879,363.636,412.779,203.86,404.774,313.676,417.491,99.7325,307.187,211.116,622.495,370.507,291.556,128.419,305.019,596.149,151.125,328.285,188.879,185.064,156.767,208.637,690.953,359.156,691.806,221.636,446.59,274.73,361.928,405.264,222.8,251.601,847.514,287.795,226.266,213.557,271.918,134.974,504.042,326.036,314.578,192.806,126.628
"AASDHPPT",678.63,727.813,1361.45,848.35,1011.89,523.109,432.964,460.215,1021,491.677,1385.16,1104.79,560.596,510.476,740.787,889.461,769.902,1088.32,1453.84,396.545,962.062,1080.69,607.201,470.987,595.132,875.165,1127.58,942.423,902.129,671.447,686.127,1020.63,999.999999999999,1040.18,777.341,736.736,716.653,4465.97,730.658,999.709,1573.4,724.179,918.227,579.446,696.904,1091.58,841.936,864.047,1266.21,929.314,1195.8,611.851,861.863,829.932,1893.84,637.399,696.086,1605.35,1188.76,996.573,1102.44,1129.69,1015.22,1059.73,554.467,1510.77,1107.46,1158.35,1128.52,1046.41,1445.71,2258.28,1293.81,941.33,579.926,619.437,312.95,596.237
"AASS",71.7781,92.395,158.962,220.765,48.97,89.9482,74.1583,77.4194,124.742,110.241,60.0707,87.4917,76.7766,108.701,76.2024,67.3401,76.5808,95.0137,167.82,139.449,171.546,49.6542,80.6529,157.572,263.286,153.31,204.738,143.333,191.528,107.393,138.15,83.5626,51.7677,131.862,131.165,76.6527,262.931,173.551,41.9152,115.65,145.546,109.616,101.261,182.999,88.002,145.544,102.304,66.9145,152.562,171.369,96.5241,83.1419,222.426,204.178,253.841,67.4465,128.745,110.238,102.326,130.393,73.3754,319.862,116.139,122.291,92.2133,103.045,62.9001,52.6524,113.305,80.6962,265.747,123.599,95.4512,76.1408,71.5958,21.9949,77.6978,44.1389
"AATF",7649.27,528.434,2680.36,3500.35,761.86,1209.95,803.756000000001,2442.15,1433.84,1384.63,2724.38,5390.55,1745.24,1243.76,993.129,1133.15,1421.92,1059.29,833.445,1334.02,838.763,954.779,1138.36,1956.97,2371.6,729.064,4652.45,764.994,1209.91,7694.39,950.867,997.249,1325.44,1438.6,1076.84,779.582,1098.97,908.47,441.38,761.812,942.103999999999,5491.89,1022.93,635.271,1500.92,711.002,936.866,1274.56,1044.3,1349.87,607.652,970.142,1751.26,729.626,961.87,1035.39,1221.05,504.063,953.112,1218.03,963.241,1111.45,764.117,17296.7,709.211,3307.46,539.593,1962.41,975.073,961.498,1333.83,7806.43,858.314999999999,1468.32,1115.24,820.46,1723.02,982.634
"AATK",107.667,72.9434,12.9765,32.2874,117.245,265.289,394.155,9.8925,42.3846,30.8676,48.5866,17.9641,61.2563,21.6202,29.9813,13.7741,17.7999,22.3793,13.3899,61.2916,60.2062,58.1947,56.457,25.3597,42.5963,22.588,16.5821,14.565,119.532,15.9369,97.8555,53.3012,54.9242,28.8908,48.2487,7.6987,50.5356,137.646,13.0223,35.3158,16.8489,64.5034,14.9026,36.4206,27.5562,15.2428,25.3456,30.2708,31.3343,106.92,9.0023,30.3169,49.2581,9.7087,9.9676,61.3702,16.7341,5.9588,7.5368,13.7119,34.1211,64.5545,30.036,12.1961,64.5097,24.3223,29.2036,11.7358,6.1509,20.0422,35.093,58.2382,40.2685,107.246,35.7979,19.4373,135.252,39.0738
"ABAT",240.348,341.483,807.424999999999,414.489,346.086,167.461,87.6416,257.204,357.34,1099.33,3899.29,328.011,269.987,151.942,364.147,526.477,137.845,221.044,270.178,527.355,544.33,146.48,637.158,337.94,785.395,148.985,1448.39,117.182,465.015,410.452,346.243,397.524,52.0833,504.81,389.564,168.034,1105.92,574.443,346.753,1715.34,470.335,42.3427,179.213,317.636,992.911,878.672,83.871,537.971,904.585,614.197,370.092,305.466,1249.2,378.935,378.767,650.159,220.243,297.129,426.408,638.769,383.485,102.917,271.125,1878.2,334.817,111.214,1190.61,302.276,166.073,408.755,559.388,541.322,402.685,223.729,183.395,311.509,248.201,137.482
