"","gene","fc_PCR_vs_RD","pval","mean_PCR","mean_RD","mean_diff"
"5842","LRRC16A",3.32939607112912,0.00600573948083253,0.154775789473684,0.0464876470588235,0.108288142414861
"6043","PPAP2B",2.02992413022912,0.00947920087932208,0.202700263157895,0.0998560784313725,0.102844184726522
"6120","GSTP1",0.56796038680646,0.0215617868701136,-0.202033421052632,-0.355717450980392,0.153684029927761
"6136","CCND1",1.26452315739233,0.048600165825055,-0.569878684210526,-0.450666862745098,-0.119211821465428
"6187","ASRGL1.2",-0.921077642303724,0.00745056623312883,0.0748707894736842,-0.0812860784313725,0.156156867905057
"6247","GALNT6",4.4869945243339,0.0102856404437446,-0.210839473684211,-0.0469890196078431,-0.163850454076367
"6360","SERPINA5",1.47157269358557,0.0391999436337233,-0.377368947368421,-0.256439215686275,-0.120929731682147
"6394","STXBP6",0.528421248816978,0.000774981703485008,-0.230710789473684,-0.436603921568627,0.205893132094943
"6409","NR2E3",-0.624613412025463,0.00739389171774426,-0.057025,0.0912964705882353,-0.148321470588235
"6434","FMN1",-1.75112917732714,0.00368546132017189,-0.0775760526315789,0.0443005882352941,-0.121876640866873
"6506","TMEM159",-0.287870830523501,0.0103693749128283,0.0231810526315789,-0.0805258823529412,0.10370693498452
"6581","USP6",36.387702342046,0.0124755999056275,-0.107778947368421,-0.00296196078431373,-0.104816986584107
"6597","CARD14",-2.78471056758467,0.00209113910216928,-0.121166578947368,0.0435113725490196,-0.164677951496388
"6609","PMAIP1",1.37925253740329,0.00865830795614182,-0.504235526315789,-0.365586078431373,-0.138649447884417
"6707","LAIR2",3.53935264763051,0.0192951268967091,0.168616842105263,0.0476405882352941,0.120976253869969
"6795","ITGA6",-0.0346935632247993,0.000552514403239054,0.00513736842105263,-0.148078431372549,0.153215799793602
"6867","NCAM2",-11.9491564091681,0.00194125819474902,-0.139453684210526,0.0116705882352941,-0.15112427244582
"6911","TMPRSS6",1.49388615972698,0.00290484058561828,-0.353116315789474,-0.23637431372549,-0.116742002063983
"6950","PLOD2",-0.413110555805615,0.0122505191319368,-0.0466952631578947,0.113033333333333,-0.159728596491228
"7167","GPR110",2.43414436702002,0.0297961334607656,0.374946052631579,0.154036078431373,0.220909974200206
"7172","GSTA2",8.76606107556203,0.0349629356234652,0.145972105263158,0.0166519607843137,0.129320144478844
"7217","PID1",-0.77119134833002,0.0150801515441678,0.0596997368421053,-0.0774123529411765,0.137112089783282
"7308","NCALD",0.365859856859129,0.00216674654749174,-0.0919057894736842,-0.251204901960784,0.1592991124871
"7341","EGR3",-27.0799925162256,0.00844723252165829,-0.129952105263158,0.00479882352941176,-0.13475092879257
"7375","SLC44A1",68.2122192248403,0.00105750058809936,-0.102291578947368,-0.00149960784313726,-0.100791971104231
"7456","KLF8",-2.06566177493264,0.0274050630462852,0.103917368421053,-0.0503070588235294,0.154224427244582
"7477","SHROOM2",-1.35913442991686,0.025451102353605,-0.0639547368421053,0.0470554901960784,-0.111010227038184
"7567","WFDC2",1.8263539994781,0.0258834668488274,-0.317369473684211,-0.173772156862745,-0.143597316821465
"7646","SOX11",-1.75956224981197,0.000847462503231171,0.216994736842105,-0.123323137254902,0.340317874097007
"7699","PTP4A2.1",4.2482507731653,0.034260789242088,-0.140073157894737,-0.0329719607843137,-0.107101197110423
"7743","PLEKHN1",0.511417771592248,0.0426571259264382,0.113182368421053,0.221310980392157,-0.108128611971104
"7790","C12orf39",2.66745790489354,0.0169745019158183,0.299219736842105,0.112174117647059,0.187045619195046
"7964","SNCG",0.430981975928456,0.0194173137529607,0.0976394736842105,0.226551176470588,-0.128911702786378
"7975","SCGN",0.847132196592252,0.0394158664452948,-0.830617105263158,-0.980504705882353,0.149887600619195
"7976","CDCA7",0.229768074311404,0.0387934488286993,-0.0488268421052632,-0.212504901960784,0.163678059855521
"8019","HRK",-0.623725450504258,0.0102266073253599,0.0571726315789474,-0.091663137254902,0.148835768833849
"8057","RBBP8",1.57686180000232,0.00696400439768828,-0.277608684210526,-0.17605137254902,-0.101557311661507
"8062","TM4SF4",2.43586524745687,0.0262826782714685,0.209287631578947,0.0859192156862745,0.123368415892673
"8223","CEP290",-9.75124504325883,0.00557897469774396,-0.111661315789474,0.0114509803921569,-0.123112296181631
"8325","EEF1A2",1.85629140186341,0.00158870792060878,-0.599298947368421,-0.322847450980392,-0.276451496388029
"8339","CDC42BPA",-0.160823833337057,0.000379982894626203,-0.0208726315789474,0.12978568627451,-0.150658317853457
"8370","PRDM13",0.546728392677008,0.00929869996523862,-0.243315789473684,-0.445039607843137,0.201723818369453
